Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,3/19/2022,11:30:00,11:45:00,Sunny,High ,motorcycle ,Urban ,120,Clothing
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,3/25/2022,19:45:00,19:50:00,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,3/19/2022,8:30:00,8:45:00,Sandstorms,Low ,motorcycle ,Urban ,130,Sports
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,4/5/2022,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,3/26/2022,13:30:00,13:45:00,Cloudy,High ,scooter ,Metropolitian ,150,Toys
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,3/11/2022,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,Urban ,130,Toys
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,3/4/2022,19:15:00,19:30:00,Fog,Jam ,scooter ,Metropolitian ,200,Toys
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,3/14/2022,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,3/20/2022,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2/12/2022,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2/13/2022,14:55:00,15:05:00,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,3/4/2022,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2/13/2022,9:20:00,9:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2/14/2022,19:50:00,20:05:00,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,4/2/2022,20:25:00,20:35:00,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors
uhfs888375680,35,4,12.311072,76.654878,12.351072,76.694878,3/1/2022,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,33,Grocery
